,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
N,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0
Total number axons with GP strength N,78572726.0,1110863.0,111483.0,19885.0,6792.0,2776.0,1370.0,679.0,379.0,246.0,148.0,86.0,58.0,55.0,28.0,19.0,14.0,11.0,8.0,5.0
Number of axons with GP strength N undergoing simulation,5499.0,4942.0,5668.0,5424.0,3813.0,1593.0,742.0,372.0,203.0,142.0,78.0,49.0,37.0,27.0,18.0,9.0,9.0,8.0,4.0,2.0
Total number of axons with GP strength N per each axon with GP strength N undergoing simulation,14288.548099654483,224.78004856333467,19.668842625264645,3.666113569321534,1.7812745869394178,1.7426239799121155,1.8463611859838276,1.825268817204301,1.8669950738916257,1.732394366197183,1.8974358974358974,1.7551020408163265,1.5675675675675675,2.037037037037037,1.5555555555555556,2.111111111111111,1.5555555555555556,1.375,2.0,2.5
Number of axons with true GP strength 1 forming GP strength N under null model,5183.0,299.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Number of axons with true GP strength 2 forming GP strength N under null model,3137.0,1550.0,223.0,22.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Number of axons with true GP strength 3 forming GP strength N under null model,2572.0,2448.0,525.0,100.0,18.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Number of axons with true GP strength 4 forming GP strength N under null model,1800.0,2717.0,710.0,152.0,34.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Number of axons with true GP strength 5 forming GP strength N under null model,1029.0,1977.0,609.0,146.0,35.0,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Number of axons with true GP strength 6 forming GP strength N under null model,309.0,876.0,298.0,76.0,22.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Number of axons with true GP strength 7 forming GP strength N under null model,107.0,417.0,158.0,43.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Number of axons with true GP strength 8 forming GP strength N under null model,43.0,217.0,73.0,26.0,7.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Number of axons with true GP strength 9 forming GP strength N under null model,16.0,121.0,47.0,12.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Number of axons with true GP strength 10 forming GP strength N under null model,15.0,66.0,45.0,10.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Number of axons with true GP strength 11 forming GP strength N under null model,6.0,36.0,27.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Number of axons with true GP strength 12 forming GP strength N under null model,2.0,22.0,17.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Number of axons with true GP strength 13 forming GP strength N under null model,1.0,10.0,12.0,10.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Number of axons with true GP strength 14 forming GP strength N under null model,1.0,10.0,9.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Number of axons with true GP strength 15 forming GP strength N under null model,0.0,8.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Number of axons with true GP strength 16 forming GP strength N under null model,0.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Number of axons with true GP strength 17 forming GP strength N under null model,0.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Number of axons with true GP strength 18 forming GP strength N under null model,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Number of axons with true GP strength 19 forming GP strength N under null model,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Number of axons with true GP strength 20 forming GP strength N under null model,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Projected total number of axons in dataset with true GP strength 1 forming GP strength N under null model,74057544.80050297,4272275.881796661,228616.76959447179,14288.548099654483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Projected total number of axons in dataset with true GP strength 2 forming GP strength N under null model,705135.0123432063,348409.07527317107,50125.95082962356,4945.161068393362,2023.0204370700123,0.0,224.78004856333467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Projected total number of axons in dataset with true GP strength 3 forming GP strength N under null model,50588.26323218249,48149.32674664953,10326.142378263909,1966.8842625264674,354.03916725476347,78.67537050105858,0.0,19.668842625264645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Projected total number of axons in dataset with true GP strength 4 forming GP strength N under null model,6599.004424778583,9960.830567846095,2602.940634218323,557.2492625368715,124.64786135693221,36.66113569321534,3.666113569321534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Projected total number of axons in dataset with true GP strength 5 forming GP strength N under null model,1832.9315499606357,3521.579858379365,1084.7962234460922,260.06608969315494,62.34461054287962,19.594020456333595,8.906372934697089,1.7812745869394178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Projected total number of axons in dataset with true GP strength 6 forming GP strength N under null model,538.4708097928461,1526.5386064030295,519.3019460138132,132.43942247332063,38.33772755806654,12.19836785938481,6.970495919648462,1.7426239799121155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Projected total number of axons in dataset with true GP strength 7 forming GP strength N under null model,197.56064690026935,769.9326145552548,291.7250673854444,79.39353099730461,27.695417789757414,3.692722371967655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Projected total number of axons in dataset with true GP strength 8 forming GP strength N under null model,78.486559139785,396.0833333333318,133.24462365591407,47.45698924731184,12.776881720430104,5.475806451612903,3.650537634408602,0.0,0.0,1.825268817204301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Projected total number of axons in dataset with true GP strength 9 forming GP strength N under null model,29.871921182266018,225.9064039408863,87.74876847290642,22.403940886699512,9.334975369458128,3.7339901477832513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Projected total number of axons in dataset with true GP strength 10 forming GP strength N under null model,25.985915492957755,114.33802816901412,77.95774647887326,17.323943661971835,6.929577464788732,1.732394366197183,0.0,1.732394366197183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Projected total number of axons in dataset with true GP strength 11 forming GP strength N under null model,11.384615384615385,68.3076923076923,51.23076923076923,9.487179487179487,7.589743589743589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Projected total number of axons in dataset with true GP strength 12 forming GP strength N under null model,3.510204081632653,38.61224489795917,29.836734693877546,7.020408163265306,7.020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Projected total number of axons in dataset with true GP strength 13 forming GP strength N under null model,1.5675675675675675,15.675675675675677,18.810810810810814,15.675675675675677,4.702702702702703,0.0,0.0,1.5675675675675675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Projected total number of axons in dataset with true GP strength 14 forming GP strength N under null model,2.037037037037037,20.370370370370377,18.33333333333334,8.148148148148149,4.074074074074074,2.037037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Projected total number of axons in dataset with true GP strength 15 forming GP strength N under null model,0.0,12.444444444444445,14.0,0.0,1.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Projected total number of axons in dataset with true GP strength 16 forming GP strength N under null model,0.0,10.555555555555555,4.222222222222222,2.111111111111111,2.111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Projected total number of axons in dataset with true GP strength 17 forming GP strength N under null model,0.0,6.222222222222222,4.666666666666667,1.5555555555555556,0.0,1.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Projected total number of axons in dataset with true GP strength 18 forming GP strength N under null model,0.0,4.125,2.75,2.75,1.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Projected total number of axons in dataset with true GP strength 19 forming GP strength N under null model,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Projected total number of axons in dataset with true GP strength 20 forming GP strength N under null model,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
