pre_site_id,post_site_id,ei_truth,syn_layer
1.13093E+11,1.13093E+11,2,Layer 5
77515393003,77515393002,2,Layer 5
1.13152E+11,1.13152E+11,2,Layer 5
7348227676,6.35418E+11,2,Layer 5
41609087160,41609087159,2,Layer 5
1.14289E+11,1.14289E+11,2,Layer 5
1.13093E+11,1.13093E+11,2,Layer 5
1.13841E+11,1.13841E+11,2,Layer 5
82836695503,82836695502,1,Layer 6
83853954690,83853954691,1,Layer 6
1.91124E+11,1.91124E+11,1,Layer 6
1.20061E+11,1.20061E+11,2,Layer 6
1.20749E+11,1.20749E+11,2,Layer 5
84812652829,84812652830,2,Layer 5
84423546260,84423546258,2,Layer 6
1.20988E+11,1.20988E+11,2,Layer 5
1.19013E+11,1.19013E+11,2,Layer 6
1.21915E+11,1.21915E+11,2,Layer 6
1.53843E+11,1.53843E+11,2,Layer 5
1.53633E+11,1.53633E+11,2,Layer 5
1.20809E+11,1.20809E+11,2,Layer 5
84513329410,84513329409,2,Layer 6
1.21766E+11,1.21766E+11,2,Layer 6
83795202943,83795202944,2,Layer 6
1.20779E+11,1.20779E+11,2,Layer 5
1.20749E+11,1.20749E+11,2,Layer 5
1.21526E+11,1.21526E+11,2,Layer 6
1.53274E+11,1.53274E+11,2,Layer 5
84034578488,84034578487,2,Layer 6
1.53543E+11,1.53543E+11,2,Layer 5
50761212226,50761212227,2,Layer 6
1.19731E+11,1.19731E+11,2,Layer 6
1.18535E+11,1.18535E+11,2,Layer 6
1.57014E+11,1.57014E+11,2,Layer 6
1.88881E+11,1.88881E+11,2,Layer 5
15124221198,15124221199,2,Layer 6
1.20928E+11,1.20928E+11,2,Layer 5
84214092778,84214092775,2,Layer 6
48427266596,48427266595,2,Layer 6
1.19731E+11,1.19731E+11,2,Layer 6
1.53573E+11,1.53573E+11,2,Layer 5
1.8918E+11,1.8918E+11,2,Layer 5
84273867246,84273867245,2,Layer 6
49385149881,49385149882,2,Layer 5
1.20749E+11,1.20749E+11,2,Layer 5
13568592646,13568592647,2,Layer 5
13568592642,13568592641,2,Layer 5
50731290298,50731290299,2,Layer 6
49444993801,49444993800,2,Layer 5
84543286011,84543286012,2,Layer 5
1.8918E+11,1.8921E+11,2,Layer 5
