segment id,excitatory synapses,inhibitory synapses,cortical layer,cell type
3622918632,7,27,Layer 1,astrocyte
16335235294,0,0,White matter,oligodendrocyte
69557313527,6,4,White matter,astrocyte
30595974593,504,208,Layer 2,interneuron
74128752202,0,0,Layer 5,oligodendrocyte
36676691428,513,477,Layer 3,interneuron
66542803073,40,33,Layer 6,astrocyte
2865695360,21,60,Layer 1,astrocyte
89809468155,15,9,Layer 3,unknown cell
33735831469,79,73,Layer 5,astrocyte
32848192493,1,2,Layer 5,microglia/opc
6538517716,51,26,White matter,astrocyte
30967043043,455,279,Layer 5,interneuron
87518967295,0,1,White matter,oligodendrocyte
37027641012,3,1,Layer 2,microglia/opc
7372293692,16,13,Layer 6,microglia/opc
6614928166,2248,644,Layer 6,spiny stellate neuron
69904246638,4,2,White matter,microglia/opc
6824975585,0,0,Layer 2,pyramidal neuron
3170841289,145,164,Layer 1,interneuron
4628356489,171,100,Layer 1,astrocyte
70195333789,0,0,White matter,oligodendrocyte
42595645440,0,0,White matter,oligodendrocyte
31736955274,87,81,White matter,astrocyte
65613959871,0,0,Layer 5,oligodendrocyte
5277693265,3,1,Layer 4,oligodendrocyte
38799384647,248,128,Layer 5,interneuron
75131928979,0,0,Layer 6,oligodendrocyte
36911212848,1,1,Layer 2,microglia/opc
35763078584,8,4,Layer 1,oligodendrocyte
48496784868,1,0,Layer 4,oligodendrocyte
6408073493,79,41,White matter,astrocyte
1507612871,0,1,Layer 2,microglia/opc
5425819258,392,183,Layer 3,microglia/opc
40546569824,9,23,Layer 5,microglia/opc
41347493270,1,1,Layer 6,oligodendrocyte
5831260723,1086,345,Layer 4,pyramidal neuron
41738726757,1,1,White matter,oligodendrocyte
4380183290,5402,1984,Layer 2,pyramidal neuron
4094543850,1,1,Layer 5,oligodendrocyte
54726607159,108,79,Layer 3,interneuron
18557506918,5,14,Layer 1,interneuron
39924464553,837,321,Layer 3,interneuron
40353528489,0,4,White matter,microglia/opc
60281981827,0,0,White matter,blood vessel cell
25056236841,1,0,White matter,oligodendrocyte
63712865824,5,7,Layer 2,microglia/opc
5234722106,9,4,Layer 4,oligodendrocyte
54892723169,12,24,Layer 1,astrocyte
73256810430,0,6,Layer 4,oligodendrocyte
5824733155,480,259,White matter,excitatory/spiny neuron with atypical tree
19484392839,0,0,Layer 3,blood vessel cell
33905246607,1,0,White matter,oligodendrocyte
17440691383,0,0,White matter,oligodendrocyte
14332750902,1106,470,Layer 4,pyramidal neuron
36256137467,10,21,Layer 2,interneuron
9268701545,26,46,Layer 1,interneuron
5492969654,2541,842,Layer 6,spiny stellate neuron
5515075128,738,434,Layer 2,pyramidal neuron
2802166568,3479,916,Layer 3,pyramidal neuron
6210944967,28,40,Layer 4,oligodendrocyte
30370462184,1165,631,Layer 5,pyramidal neuron
5686010347,1,2,Layer 4,oligodendrocyte
41175727330,3,0,Layer 5,oligodendrocyte
5281416034,2576,809,Layer 2,pyramidal neuron
50926084058,0,0,Layer 6,oligodendrocyte
5817564974,0,0,Layer 4,oligodendrocyte
3704683200,438,119,Layer 4,pyramidal neuron
67131661092,1,0,Layer 4,oligodendrocyte
75380233949,0,0,Layer 6,oligodendrocyte
5743347252,733,340,Layer 4,excitatory/spiny neuron with atypical tree
40694069468,4,1,Layer 5,oligodendrocyte
41736741130,2,4,White matter,interneuron
4344761442,4040,1337,Layer 5,pyramidal neuron
3382336760,1069,661,Layer 5,pyramidal neuron
41476741507,1,0,White matter,oligodendrocyte
85366675078,0,0,White matter,oligodendrocyte
634034153,642,467,Layer 2,interneuron
3994294473,8,23,Layer 5,interneuron
78189205405,1,0,White matter,oligodendrocyte
55469681775,0,4,Layer 3,unknown cell
71822656841,2,6,Layer 1,astrocyte
28597841746,421,297,Layer 3,interneuron
31825831605,42,16,Layer 6,c-shaped cell
4101932209,3719,1465,Layer 2,pyramidal neuron
