Wafer,Section Part Names,Z / Part Ordinal in 964355253395:h01:google_layout_1,Thickness (nm),mFOV overlap (%),Dwell Time (ns),Number of mFOVs,Number FSPs,Duration,Missing thumbs,Missing images,Missing thumb coord,Missing image coord,Metadata,Protocol,FocusMap,Workflow,sFOV stitch,mFOV rotation,# mFOV gaps,# mFOV low conf,# mFOV jitter,mFOV quality,Worst beams
18,S61R1,0,30,10,200,706,10/11,32.0 min,complete,complete,complete,complete,good,good,good,good,good,-0.287,0,6,0,-3.0 ± 10.6,"24,58,48,1,55"
18,S60R1,1,30,10,200,702,11/11,29.4 min,complete,complete,complete,complete,good,good,good,good,good,-0.2801,0,0,0,-3.3 ± 9.5,"24,1,48,58,55"
18,S59R1,2,30,10,200,703,11/11,31.0 min,complete,complete,complete,complete,good,good,good,good,good,-0.2817,0,0,0,-2.3 ± 11.7,"24,58,48,43,1"
18,S58R1,3,30,10,200,703,12/12,29.9 min,complete,complete,complete,complete,good,corrupted,good,good,good,-0.2841,0,0,0,2.8 ± 7.5,"24,58,48,1,55"
18,S57R1,4,30,10,200,703,12/12,29.5 min,complete,complete,complete,complete,good,good,good,good,good,-0.2812,0,3,0,4.9 ± 9.0,"24,58,48,1,19"
18,S56R1,5,30,10,200,703,10/11,29.3 min,complete,complete,complete,complete,good,good,good,good,good,-0.2837,0,0,0,2.0 ± 8.3,"24,48,58,1,43"
18,S55R1,6,30,10,200,703,10/11,29.0 min,"685~688,690,691,693,695","685~688,690,691,693,695","685~688,690,691,693,695","685~688,690,691,693,695",corrupted,good,good,good,good,-0.285,0,19,0,4.7 ± 9.3,"24,1,48,58,17"
18,S54R1,7,30,10,200,706,11/11,29.4 min,complete,complete,complete,complete,good,good,good,good,good,-0.2747,0,20,0,4.7 ± 8.4,"24,48,58,1,19"
18,S53R1,8,30,10,200,699,23/23,31.5 min,complete,complete,complete,complete,good,good,good,good,good,-0.2943,0,0,2,2.3 ± 14.4,"24,48,1,58,43"
18,S52R1,9,30,10,200,715,27/27,36.1 min,complete,complete,complete,complete,good,good,good,good,good,-0.2898,0,8,2,-0.7 ± 11.1,"24,54,58,50,55"
18,S51R1,10,30,10,200,701,29/29,32.6 min,complete,complete,complete,complete,good,good,good,good,good,-0.2813,0,0,0,2.2 ± 11.8,"24,43,58,48,42"
18,S50R1,11,30,10,200,702,14/14,30.3 min,complete,complete,complete,complete,good,good,good,good,good,-0.2991,0,0,0,7.5 ± 16.9,"24,48,1,58,43"
18,S49R1,12,30,10,200,708,14/14,30.0 min,complete,complete,complete,complete,good,good,good,good,good,-0.2759,0,6,7,8.2 ± 9.1,"24,48,1,58,43"
18,S48R1,13,30,10,200,704,14/14,29.9 min,complete,complete,complete,complete,good,good,good,good,good,-0.2712,0,0,9,9.8 ± 9.8,"24,58,1,48,19"
18,S47R1,14,30,10,200,702,13/13,30.7 min,complete,complete,complete,complete,good,good,good,good,good,-0.2873,0,0,5,17.0 ± 15.1,"24,58,48,1,55"
18,S46R1,15,30,10,200,703,14/14,29.7 min,complete,complete,complete,complete,good,good,good,good,good,-0.2754,0,0,0,8.1 ± 14.1,"24,48,1,43,58"
18,S45R1,16,30,10,200,703,13/14,29.9 min,complete,complete,complete,complete,good,good,good,good,good,-0.2877,0,0,2,9.3 ± 13.8,"24,48,1,58,43"
18,S44R1,17,30,10,400,704,14/14,30.9 min,complete,complete,complete,complete,good,good,good,good,good,-0.2905,0,0,0,9.1 ± 13.4,"24,43,48,44,46"
18,S43R1,18,30,10,400,702,14/14,49.4 min,complete,complete,complete,complete,good,good,good,good,good,-0.2796,0,0,111,24.0 ± 23.2,"24,58,48,55,1"
18,S42R1,19,30,10,200,701,14/14,38.5 min,complete,complete,complete,complete,good,good,good,good,good,-0.2939,0,0,0,8.0 ± 11.4,"24,46,43,42,45"
18,S41R1,20,30,10,400,703,30/30,52.8 min,complete,complete,complete,complete,good,good,good,good,good,-0.2901,0,0,84,24.9 ± 24.2,"24,58,48,42,1"
