,N base segments in cell,N base segment merge errors,c2 N removed base segments,c2 merge error corrections,c2 split error corrections,c3 N removed base segments,c3 merge error corrections,c3 split error corrections
1012799131,3723,0,162239,587,212,14602,307,380
1072605926,2073,0,131994,213,105,1095,107,292
11287537830,930,0,9,3,40,438,6,189
1130060083,8005,0,236827,908,802,1511912,707,1255
11841061678,2654,0,58787,125,169,5224,33,437
12116319883,2073,0,51346,12,75,38795,21,304
1304599851,5078,0,229517,286,188,51000,308,1049
13486973660,1459,0,308,107,65,253,93,271
14685759598,1539,0,863,32,112,70745,39,230
1523542102,1169,0,93,42,37,81,53,184
1538361367,3910,0,86556,147,237,2034,117,557
1596386991,3025,0,82581,66,229,823,59,563
1771276990,4252,0,87733,79,153,1167,84,772
1787105373,677,0,86,37,60,56,24,139
2062084674,4362,0,212649,781,514,43596,600,651
2091316191,2459,0,16088,776,201,6375,581,382
2252030265,1167,0,29939,197,162,7594,35,185
2351915864,1671,0,12846,573,129,14497,460,223
2352981237,6675,0,39765,1334,412,6874,149,181
2369744237,692,0,8985,464,155,861,473,220
2454443983,3119,0,36079,71,561,304,82,888
2510978203,6265,0,226102,105,126,68048,84,925
2530864514,142,0,1404,2,22,1,1,49
2644826488,3967,1,252910,146,274,90012,108,705
2761735734,7312,0,299607,584,422,81690,506,1393
2786572808,2026,0,97375,686,124,2154,448,180
2801597557,2299,0,53149,32,191,42651,28,449
2863125070,2413,0,32000,426,149,99,18,106
3024364765,2786,0,7527,189,271,2013,166,512
3039360243,4154,0,157185,380,323,47387,111,501
3106392543,3203,0,3817,406,146,10427,260,385
3227669146,500,0,452,370,63,365,296,96
3339994455,2558,1,70631,18,130,161,16,410
3504868517,3122,0,922,124,209,158,101,636
3563171068,2490,0,13290,338,213,759,306,482
3631210846,4603,0,259975,191,90,89467,170,263
3708173623,4016,0,15740,412,358,3937,245,537
3751392341,411,0,17997,28,30,38,14,42
3805181241,2106,0,460,205,29,57691,190,277
3861936363,3010,0,696,504,191,23,20,123
3924034490,2826,0,343828,50,165,77318,40,396
4029162155,738,0,114,62,108,81,52,213
4039221194,5376,0,4738,203,137,10267,675,898
4070847746,4645,1,203115,211,364,46981,71,747
4142450656,1508,0,65767,947,103,1926,689,141
4155254986,1775,0,269,39,99,744,38,326
4168833735,5742,0,82896,1098,254,33204,67,83
4169389448,2340,0,6177,27,90,4924,25,427
4260557631,4339,0,2663,111,204,125581,89,738
4275013244,378,0,677,86,52,66,35,72
4300915475,2633,0,142271,164,123,3607,66,465
4420044370,361,0,9419,8,27,139,11,78
4466461472,3649,1,6492,657,445,38386,200,378
4474521366,5204,0,71173,914,115,74120,78,134
4568609259,3423,0,16773,222,254,10171,154,536
4598805287,867,0,196490,116,221,20247,12,288
4607785510,3218,0,111787,38,79,145552,65,504
4634401300,2768,0,77594,53,129,170,29,492
4709392935,2680,0,1370,68,36,33180,73,374
4711641825,635,0,4642,29,34,2049,27,87
4783361469,12401,0,287151,979,832,69379,437,1427
4874004818,1918,1,2021,374,224,357,144,200
4917763728,3285,0,9713,196,384,19800,180,709
4931751396,6621,0,518797,4700,379,8830,4024,412
4972868216,1768,0,862,240,164,79,5,174
4990623077,828,1,11116,138,135,92,60,167
4999455438,2634,0,10203,50,54,14698,25,294
5013648003,2618,0,56528,87,92,59600,75,477
5091281635,6124,1,30230,366,196,70579,386,1191
5102072386,8477,0,239757,544,315,1298,223,1098
5117695254,1982,0,14577,165,107,226,129,280
5145786852,9898,0,110757,931,593,219396,395,1074
5160214236,1700,1,469,84,74,58115,36,229
5209023651,2127,0,98830,1027,233,10027,590,295
5306836611,4892,0,1223,83,440,38698,72,879
5397844936,9224,1,67630,1404,489,25382,1023,1720
5410050552,814,2,1534,997,211,1266,868,285
5421628758,2459,0,23665,282,101,7665,170,374
5478296229,9392,0,153280,261,240,133404,213,1791
5540597983,1975,0,11540,1028,221,959,638,150
5558688317,4059,0,241691,340,405,1857263,202,809
5599819336,7188,0,105477,976,614,25772,491,792
5623692860,4501,1,74201,421,224,794,349,712
5733520924,7273,0,140152,605,764,71087,488,1121
5758723446,1955,0,663,20,97,19866,79,395
5760081176,5367,0,300477,110,494,36791,145,937
576055096,1597,0,2429,76,84,36726,141,303
5803634703,1031,0,262602,774,164,1171,717,124
5899564211,3982,0,1879,225,262,72760,184,550
6046888647,10756,0,536792,1171,530,415780,736,1551
6048143049,4192,0,1617,429,307,638,186,638
6081959447,971,0,20738,192,125,6944,150,288
6090179673,7622,0,205753,172,504,52314,143,1269
6169827896,826,0,1559,14,134,1791,27,245
6338075438,7109,1,181830,1297,727,572590,526,231
635012245,1836,0,858,299,260,458,63,134
6385675633,9990,0,382094,1036,573,84544,880,1619
6589462084,2948,0,24385,193,201,5802,135,426
7169500552,2291,0,52138,106,67,24137,87,334
722502986,638,0,19,5,95,20,6,196
7371141223,3623,0,114447,134,216,4327,269,542
7559362193,4803,0,30094,1122,491,1366,84,137
8038960303,5398,0,8327,778,763,50595,959,878
969989873,1111,0,145040,103,124,72907,71,185
